rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
GOVEKAR Matevž,rider/matevz-govekar,,X,X,,X,,,,,,,,,,,,,,,3/19
GRAAT Tijmen,rider/tijmen-graat,,,,X,,,,,,,,,,,,,,,,1/19
GRADEK Kamil,rider/kamil-gradek,X,X,,,,,,,X,X,X,X,,,,,,,,6/19
GRANGER Ben,rider/ben-granger,,,,X,,,,,,,,,,,,,,,,1/19
GRIGNARD Sébastien,rider/sebastien-grignard,X,,X,,,,,,X,X,X,,,,,,,,,5/19
GRISEL Matys,rider/matys-grisel,,,X,,,,,,X,,,,,,,,,,,2/19
GROENEWEGEN Dylan,rider/dylan-groenewegen,,X,X,,,X,,X,,,,,X,,X,,,,,6/19
GROVES Kaden,rider/kaden-groves,X,X,,,,,,,,X,X,X,,X,,,,,,6/19
GROßSCHARTNER Felix,rider/felix-grossschartner,,,,X,,,X,,,,,,,,,,,,,2/19
GRUEL Thibaud,rider/thibaud-gruel,X,,X,,X,,,,X,X,X,X,,,,,,,,7/19
GRUPP Louis,rider/louis-grupp,,,X,,,,,,,,,,,,,,,,,1/19
GRÉGOIRE Romain,rider/romain-gregoire1,,,,X,,,X,,X,,X,X,,,,X,X,X,X,9/19
GUALDI Simone,rider/simone-gualdi,,,,X,,,,,,,,,,,,,,,,1/19
GUDMESTAD Tord,rider/tord-gudmestad,,,,,,,X,,,,,,,,,,,,,1/19
GUILLEMETTE Mathias,rider/mathias-guillemette,,,,,X,X,,,,,,,,,,,,,,2/19
GULLHAV Kristoffer,rider/kristoffer-gullhav,,,X,,,,,,,,,,,,,,,,,1/19
HAGENES Per Strand,rider/per-strand-hagenes,X,,X,,,,,,X,,X,X,,,,,,,,5/19
HAIG Jack,rider/jack-haig,,,,X,,,X,,,,,,,,,,,,,2/19
HALLER Marco,rider/marco-haller,X,X,,,,,X,,X,X,,X,,,,,,,,6/19
HAMILTON Lucas,rider/lucas-hamilton,,,,X,,,,,,,,,,,,,,,,1/19
HANNES Victor,rider/victor-hannes,,,X,,,,,,,,,,,,,,,,,1/19
HARTEEL Jelle,rider/jelle-harteel,,,X,,X,,,,,,,,,,,,,,,2/19
HATHERLY Alan,rider/alan-hatherly,,,,X,,,,,,,,,,,,,,,,1/19
HEALY Ben,rider/ben-healy,,,,X,,,,,,,,,,,,,X,X,X,4/19
HEIDUK Kim,rider/kim-heiduk,X,,,X,,,,,X,X,X,X,,,,,,,,6/19
HEREMANS Joppe,rider/joppe-heremans,,,X,,,,,,,,,,,,,,,,,1/19
HERMANS Quinten,rider/quinten-hermans,,,,X,,,,,,,,,,,,X,X,X,X,5/19
HERREGODTS Rune,rider/rune-herregodts,X,X,,,,,,,X,,X,X,,,,,,,,5/19
HERZOG Emil,rider/emil-herzog,,,,X,,,,,,,,,,,,,,,,1/19
HESTERS Jules,rider/jules-hesters,,X,,,,,,X,,X,X,,,,,,,,,4/19
HIRSCHI Marc,rider/marc-hirschi,,,,,,,,,,,,,,,,,X,X,X,3/19
HOBBS Noah,rider/noah-hobbs,X,X,,,,,,,,,,,,,,,,,,2/19
HOELGAARD Markus,rider/markus-hoelgaard,X,,,X,,,,,X,X,,X,,,,,,,,5/19
